feature,importance
request_count,0.07261109260623563
fast_50ms_count,0.0685491959079788
median_delta_ms,0.05942257041571526
reservation_share,0.0569358769819985
fast_10ms_count,0.05434030298895512
burst_10ms,0.04790350732958151
fast_5ms_count,0.04325100459417869
burst_50ms,0.04213082904042697
burst_5ms,0.03766818867398897
std_delta_ms,0.03508739011245951
max_delta_ms,0.03393850860009657
reservation_count,0.03357146000818186
requests_per_sec,0.033521453444826335
top_endpoint_count,0.03278565734009287
mean_delta_ms,0.03224765639322248
duration_sec,0.03116583159450012
fast_1ms_count,0.029034280886558735
external_integration_share,0.028556243803145438
external_integration_count,0.02729760239431959
endpoint_switches,0.02026778162912082
endpoint_entropy,0.019452752164118584
repeated_endpoints_count,0.01746872075977282
endpoint_switch_rate,0.016669121493335545
top1_share,0.012742241245957187
top3_share,0.011949176257399177
repeat_ratio,0.011795030264081992
handbook_count,0.011711950632123925
top2_share,0.011403097752170676
facility_count,0.010249446833637904
top_endpoint_share,0.00929014331153035
unique_endpoints,0.007845392346552864
same_ts_duplicate_groups,0.006665989227003628
timeslot_count,0.006366785137927947
rule_score,0.005673142359875783
rule_high_rps,0.004186660701495679
timeslot_share,0.004107371843180671
handbook_share,0.002324468952309847
captcha_count,0.0019167147082990606
autocomplete_share,0.0016086991263661611
dominant_endpoint_flag,0.0015633620885697893
rule_many_fast_intervals,0.001172611148152875
facility_share,0.0011463719693372224
autocomplete_count,0.0009501444164750944
captcha_share,0.0005098205346465223
rule_predicted_bot,0.0004906897889155719
rule_external_integration_spam,0.00021159819456696634
rule_captcha_cycle,0.00015582904125854163
max_same_ts_requests,8.623295535359536e-05
rule_timeslot_abuse,0.0
rule_same_ts_duplicates,0.0
min_delta_ms,0.0
